name,road_address,latitude,longitude,toilet_type,open_time_type
허리우드극장(낙원상가4층),서울특별시 종로구 삼일대로 428,37.57258,126.98781,개방화장실,정시
버거킹(종로점),서울특별시 종로구 종로 94,37.56994,126.98811,개방화장실,정시
광장시장 1층 청과부,서울특별시 종로구 창경궁로 88,37.57009,126.99608,개방화장실,정시
맥도날드 서울동묘앞역점,서울특별시 종로구 종로 339,37.57315,127.01512,개방화장실,상시
우정총국시민광장,서울특별시 종로구 견지동 39-8,37.5743,126.98269,공중화장실,정시
통인시장 고객만족센터,서울특별시 종로구 자하문로 15길 18,37.58077,126.96995,공중화장실,정시
종로문화체육센터,서울특별시 종로구 인왕산로1길 21,37.57428,126.96468,개방화장실,정시
누상동체육시설 공중화장실,서울특별시 종로구 옥인6길 26-17,37.58011,126.96367,공중화장실,상시
서대문교회,"서울특별시 종로구 통일로8길 16, 2층",37.56925,126.96545,개방화장실,정시
SK본사,서울특별시 종로구 종로 26,37.56997,126.98278,개방화장실,정시
안동교회,서울특별시 종로구 윤보선길 57,37.57841,126.98316,개방화장실,상시
락고재 북촌빈관(서울공공한옥),서울특별시 종로구 북촌로11가길 10,37.58237,126.98421,개방화장실,정시
청운대쉼터 공중화장실,서울특별시 종로구 삼청동 산2-1,37.59271,126.98179,공중화장실,상시
맥도날드(대학로),서울특별시 종로구 대학로 130,37.58009,127.00299,개방화장실,정시
인왕산등산로입구 공중화장실,서울특별시 종로구 무악동 46-1894,37.57741,126.96114,공중화장실,상시
계원빌딩,서울특별시 종로구 청계천로 71,37.56952,126.9874,개방화장실,정시
삼청동 주민센터,서울특별시 종로구 삼청로 107,37.58499,126.98188,개방화장실,정시
하나로빌딩,서울특별시 종로구 인사동5길 25,37.57209,126.98544,개방화장실,정시
평창동주민센터,서울특별시 종로구 평창문화로 65,37.60637,126.96834,개방화장실,정시
경희궁의 아침 3단지,서울특별시 종로구 사직로8길 34,37.57359,126.9721,개방화장실,상시
성터교회,서울특별시 종로구 낙산성곽동길 26,37.57496,127.00929,개방화장실,정시
청운대안내소 공중화장실(청운대 안내소 앞),서울특별시 종로구 부암동 16-3,37.5963,126.97289,공중화장실,상시
삼청테니스장,서울특별시 종로구 삼청로 156,37.59271,126.98179,개방화장실,정시
사직동 주민센터화장실,서울특별시 종로구 사직로9길 1,37.57594,126.96727,개방화장실,정시
종로3가역(3),서울특별시 종로구 묘동 59 종로3가역(3호선),37.57156329,126.9918758,공중화장실,정시
JW 매리어트 호텔,서울특별시 종로구 청계천로 279,37.57092,127.00784,개방화장실,상시
인왕산 청운지구(3)(청운공원 어린이놀이터 화장실),서울특별시 종로구 청운동 7-6,37.58968,126.96542,공중화장실,정시
숭인공원,서울특별시 종로구 숭인동 58,37.57606,127.01755,공중화장실,상시
강북삼성병원,서울특별시 종로구 새문안로 29,37.56836,126.96749,개방화장실,정시
세운스퀘어(주얼리관),서울특별시 종로구 창경궁로 109,37.57229,126.99707,개방화장실,정시
삼청동공중화장실,서울특별시 종로구 삼청로 117,37.58591,126.98162,공중화장실,상시
㈜대양씨앤씨 사직주유소,서울특별시 종로구 사직로 65,37.57451,126.96661,개방화장실,상시
산마루놀이터,서울특별시 종로구 창신동 23-350,37.57558,127.01241,공중화장실,정시
종로구민회관,서울특별시 종로구 지봉로5길 7-5,37.57352,127.01449,개방화장실,정시
인사동마루 본관,서울특별시 종로구 인사동길 35-6,37.57346,126.98512,개방화장실,정시
남인사마당 공중화장실,서울특별시 종로구 인사동길 6,37.57172,126.98608,개방화장실,정시
SK네트웍스㈜재동주유소,서울특별시 종로구 율곡로 58,37.57643,126.98585,개방화장실,정시
창신3동 주민센터,"서울특별시 종로구 지봉로 87, 2층",37.578,127.0147,개방화장실,정시
자하문주유소,서울특별시 종로구 자하문로 248,37.59633,126.96435,개방화장실,상시
한국색동박물관,"서울특별시 종로구 율곡로10길 85-7 1층, 2층",37.5739,126.9921,개방화장실,정시
창의문안내소 공중화장실(창의문 안내소 앞),서울특별시 종로구 청운동 산1-1,37.59135,126.97183,공중화장실,상시
마로니에공원(지상1층),서울특별시 종로구 동숭동 1-124,37.58049,127.00272,공중화장실,정시
㈜중앙에너비스 혜화지점,서울특별시 종로구 창경궁로35길 1,37.58609,127.00107,공중화장실,정시
대학로예술극장,서울특별시 종로구 대학로10길 17,37.58322,127.0044,개방화장실,정시
인왕산 무악지구 공중화장실(인왕사 화장실),서울특별시 종로구 무악동 산2-84,37.57822,126.96044,공중화장실,상시
경희궁공원,서울특별시 종로구 신문로2가 2-1,37.57076,126.96884,공중화장실,상시
신진시장(만남의 장소),서울특별시 종로구 종로38길 16,37.57023,127.00495,개방화장실,상시
동대문,서울특별시 종로구 율곡로 지하 308호,37.57616,126.99479,개방화장실,정시
인창빌딩,서울특별시 종로구 인사동길 29,37.57423,126.98601,개방화장실,정시
㈜지에스이앤알 평창주유소,서울특별시 종로구 평창문화로 135,37.60974,126.97452,개방화장실,상시
종로3가역(5),서울특별시 종로구 낙원동 126 종로3가역(5호선),37.5715,126.989059,공중화장실,정시
혜화동공중화장실(한옥청사),서울특별시 종로구 혜화로 12,37.58683,127.00053,개방화장실,정시
월드그랑서울,서울특별시 종로구 종로 33,37.57111,126.98139,개방화장실,상시
다동소공원,서울특별시 중구 다동길 15,37.567792,126.98052,공중화장실,상시
청계6가 지하상가,서울특별시 중구 장충단로 지하280,37.56936948,127.0096116,공중화장실,상시
을지입구 지하상가,서울특별시 중구 을지로 지하58,37.56634311,126.9839633,공중화장실,정시
을지로3가역(3) 화장실,서울특별시 중구 을지로 지하 129,37.5666502,126.9942277,공중화장실,정시
청구어린이공원,"서울특별시 중구 다산로14길 50, 청구어린이공원 화장실 (신당동)",37.554856,127.01435,공중화장실,상시
석호정,서울특별시 중구 남산공원길 372,37.54900941,126.9933126,공중화장실,상시
훈련원근린공원,서울특별시 중구  을지로 227,37.567397,127.00354,공중화장실,상시
